relationship_id,gate,status,evidence
R02,G03,UNDERPOWERED,"unique_primary_episodes=3; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G04,UNDERPOWERED,"unique_primary_episodes=3; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G05,UNDERPOWERED,"unique_primary_episodes=3; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G06,UNDERPOWERED,"unique_primary_episodes=3; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G07,UNDERPOWERED,"unique_primary_episodes=3; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G08,UNDERPOWERED,"unique_primary_episodes=3; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G01,UNDERPOWERED,"unique_primary_episodes=10; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G02,UNDERPOWERED,"unique_primary_episodes=10; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G03,UNDERPOWERED,"unique_primary_episodes=10; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G04,UNDERPOWERED,"unique_primary_episodes=10; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G05,UNDERPOWERED,"unique_primary_episodes=10; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G06,UNDERPOWERED,"unique_primary_episodes=10; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G07,UNDERPOWERED,"unique_primary_episodes=10; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R03,G08,UNDERPOWERED,"unique_primary_episodes=10; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R04,G01,UNDERPOWERED,"unique_primary_episodes=5; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}}"
R04,G02,UNDERPOWERED,"unique_primary_episodes=5; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}}"
R04,G03,UNDERPOWERED,"unique_primary_episodes=5; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}}"
R04,G04,UNDERPOWERED,"unique_primary_episodes=5; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}}"
R04,G05,UNDERPOWERED,"unique_primary_episodes=5; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}}"
R04,G06,UNDERPOWERED,"unique_primary_episodes=5; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}}"
R04,G07,UNDERPOWERED,"unique_primary_episodes=5; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}}"
R04,G08,UNDERPOWERED,"unique_primary_episodes=5; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 1}}"
R05,G01,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': True, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R05,G02,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': True, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R05,G03,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': True, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R05,G04,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': True, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R05,G05,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': True, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R05,G06,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': True, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R05,G07,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': True, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R05,G08,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': True, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
